prompt,intent
make me laugh 1,jokes_fun
make me laugh 2,jokes_fun
funny joke 3,jokes_fun
another joke 4,jokes_fun
make me laugh 0,jokes_fun
another joke 1,jokes_fun
tell a joke 2,jokes_fun
funny joke 3,jokes_fun
funny joke 4,jokes_fun
another joke 0,jokes_fun
funny joke 1,jokes_fun
another joke 2,jokes_fun
make me laugh 3,jokes_fun
tell a joke 4,jokes_fun
make me laugh 0,jokes_fun
another joke 1,jokes_fun
tell a joke 2,jokes_fun
another joke 3,jokes_fun
tell a joke 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
funny joke 2,jokes_fun
funny joke 3,jokes_fun
funny joke 4,jokes_fun
another joke 0,jokes_fun
another joke 1,jokes_fun
make me laugh 2,jokes_fun
another joke 3,jokes_fun
funny joke 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
make me laugh 2,jokes_fun
tell a joke 3,jokes_fun
make me laugh 4,jokes_fun
funny joke 0,jokes_fun
funny joke 1,jokes_fun
funny joke 2,jokes_fun
tell a joke 3,jokes_fun
make me laugh 4,jokes_fun
another joke 0,jokes_fun
another joke 1,jokes_fun
another joke 2,jokes_fun
funny joke 3,jokes_fun
make me laugh 4,jokes_fun
another joke 0,jokes_fun
tell a joke 1,jokes_fun
funny joke 2,jokes_fun
make me laugh 3,jokes_fun
another joke 4,jokes_fun
funny joke 0,jokes_fun
funny joke 1,jokes_fun
tell a joke 2,jokes_fun
another joke 3,jokes_fun
another joke 4,jokes_fun
another joke 0,jokes_fun
another joke 1,jokes_fun
tell a joke 2,jokes_fun
funny joke 3,jokes_fun
make me laugh 4,jokes_fun
make me laugh 0,jokes_fun
another joke 1,jokes_fun
tell a joke 2,jokes_fun
tell a joke 3,jokes_fun
funny joke 4,jokes_fun
tell a joke 0,jokes_fun
tell a joke 1,jokes_fun
tell a joke 2,jokes_fun
make me laugh 3,jokes_fun
another joke 4,jokes_fun
make me laugh 0,jokes_fun
another joke 1,jokes_fun
funny joke 2,jokes_fun
make me laugh 3,jokes_fun
tell a joke 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
another joke 2,jokes_fun
funny joke 3,jokes_fun
tell a joke 4,jokes_fun
tell a joke 0,jokes_fun
tell a joke 1,jokes_fun
tell a joke 2,jokes_fun
funny joke 3,jokes_fun
another joke 4,jokes_fun
another joke 0,jokes_fun
another joke 1,jokes_fun
tell a joke 2,jokes_fun
funny joke 3,jokes_fun
another joke 4,jokes_fun
another joke 0,jokes_fun
tell a joke 1,jokes_fun
funny joke 2,jokes_fun
another joke 3,jokes_fun
another joke 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
funny joke 2,jokes_fun
another joke 3,jokes_fun
another joke 4,jokes_fun
tell a joke 0,jokes_fun
make me laugh 1,jokes_fun
another joke 2,jokes_fun
tell a joke 3,jokes_fun
funny joke 4,jokes_fun
tell a joke 0,jokes_fun
make me laugh 1,jokes_fun
another joke 2,jokes_fun
funny joke 3,jokes_fun
another joke 4,jokes_fun
another joke 0,jokes_fun
tell a joke 1,jokes_fun
another joke 2,jokes_fun
make me laugh 3,jokes_fun
make me laugh 4,jokes_fun
make me laugh 0,jokes_fun
funny joke 1,jokes_fun
make me laugh 2,jokes_fun
another joke 3,jokes_fun
funny joke 4,jokes_fun
funny joke 0,jokes_fun
tell a joke 1,jokes_fun
another joke 2,jokes_fun
tell a joke 3,jokes_fun
tell a joke 4,jokes_fun
tell a joke 0,jokes_fun
tell a joke 1,jokes_fun
another joke 2,jokes_fun
funny joke 3,jokes_fun
another joke 4,jokes_fun
make me laugh 0,jokes_fun
make me laugh 1,jokes_fun
make me laugh 2,jokes_fun
another joke 3,jokes_fun
make me laugh 4,jokes_fun
funny joke 0,jokes_fun
make me laugh 1,jokes_fun
make me laugh 2,jokes_fun
another joke 3,jokes_fun
another joke 4,jokes_fun
latest news 0,news
top headlines 1,news
today's news 2,news
latest news 3,news
today's news 4,news
news update 0,news
news update 1,news
top headlines 2,news
top headlines 3,news
latest news 4,news
news update 0,news
news update 1,news
top headlines 2,news
top headlines 3,news
news update 4,news
today's news 0,news
news update 1,news
news update 2,news
news update 3,news
news update 4,news
latest news 0,news
latest news 1,news
news update 2,news
top headlines 3,news
latest news 4,news
top headlines 0,news
top headlines 1,news
news update 2,news
news update 3,news
top headlines 4,news
today's news 0,news
top headlines 1,news
top headlines 2,news
today's news 3,news
news update 4,news
today's news 0,news
latest news 1,news
latest news 2,news
news update 3,news
latest news 4,news
top headlines 0,news
today's news 1,news
latest news 2,news
top headlines 3,news
today's news 4,news
top headlines 0,news
today's news 1,news
today's news 2,news
today's news 3,news
top headlines 4,news
today's news 0,news
news update 1,news
today's news 2,news
latest news 3,news
latest news 4,news
today's news 0,news
top headlines 1,news
news update 2,news
news update 3,news
top headlines 4,news
today's news 0,news
top headlines 1,news
latest news 2,news
top headlines 3,news
news update 4,news
latest news 0,news
top headlines 1,news
today's news 2,news
latest news 3,news
latest news 4,news
top headlines 0,news
top headlines 1,news
news update 2,news
latest news 3,news
today's news 4,news
today's news 0,news
latest news 1,news
latest news 2,news
today's news 3,news
latest news 4,news
top headlines 0,news
top headlines 1,news
news update 2,news
latest news 3,news
today's news 4,news
today's news 0,news
news update 1,news
news update 2,news
today's news 3,news
latest news 4,news
top headlines 0,news
top headlines 1,news
top headlines 2,news
latest news 3,news
latest news 4,news
top headlines 0,news
news update 1,news
top headlines 2,news
news update 3,news
top headlines 4,news
news update 0,news
today's news 1,news
top headlines 2,news
today's news 3,news
news update 4,news
today's news 0,news
today's news 1,news
news update 2,news
latest news 3,news
latest news 4,news
today's news 0,news
today's news 1,news
today's news 2,news
top headlines 3,news
news update 4,news
news update 0,news
today's news 1,news
today's news 2,news
latest news 3,news
today's news 4,news
top headlines 0,news
latest news 1,news
top headlines 2,news
latest news 3,news
latest news 4,news
top headlines 0,news
latest news 1,news
news update 2,news
news update 3,news
latest news 4,news
news update 0,news
today's news 1,news
top headlines 2,news
top headlines 3,news
latest news 4,news
today's news 0,news
today's news 1,news
today's news 2,news
today's news 3,news
today's news 4,news
top headlines 0,news
news update 1,news
latest news 2,news
today's news 3,news
top headlines 4,news
top headlines 0,news
top headlines 1,news
today's news 2,news
latest news 3,news
top headlines 4,news
news update 0,news
news update 1,news
today's news 2,news
today's news 3,news
top headlines 4,news
top headlines 0,news
today's news 1,news
latest news 2,news
top headlines 3,news
today's news 4,news
news update 0,news
top headlines 1,news
top headlines 2,news
news update 3,news
top headlines 4,news
latest news 0,news
today's news 1,news
top headlines 2,news
news update 3,news
today's news 4,news
suggest a movie 0,movies
suggest a movie 1,movies
popular films 2,movies
suggest a movie 3,movies
latest movies 4,movies
latest movies 0,movies
suggest a movie 1,movies
movie recommendation 2,movies
suggest a movie 3,movies
popular films 4,movies
movie recommendation 0,movies
suggest a movie 1,movies
latest movies 2,movies
suggest a movie 3,movies
movie recommendation 4,movies
suggest a movie 0,movies
latest movies 1,movies
popular films 2,movies
latest movies 3,movies
movie recommendation 4,movies
latest movies 0,movies
suggest a movie 1,movies
popular films 2,movies
movie recommendation 3,movies
movie recommendation 4,movies
movie recommendation 0,movies
latest movies 1,movies
movie recommendation 2,movies
popular films 3,movies
popular films 4,movies
latest movies 0,movies
popular films 1,movies
suggest a movie 2,movies
popular films 3,movies
latest movies 4,movies
movie recommendation 0,movies
movie recommendation 1,movies
latest movies 2,movies
popular films 3,movies
latest movies 4,movies
movie recommendation 0,movies
movie recommendation 1,movies
latest movies 2,movies
latest movies 3,movies
latest movies 4,movies
movie recommendation 0,movies
latest movies 1,movies
popular films 2,movies
suggest a movie 3,movies
latest movies 4,movies
suggest a movie 0,movies
movie recommendation 1,movies
latest movies 2,movies
movie recommendation 3,movies
suggest a movie 4,movies
popular films 0,movies
latest movies 1,movies
suggest a movie 2,movies
movie recommendation 3,movies
movie recommendation 4,movies
latest movies 0,movies
latest movies 1,movies
latest movies 2,movies
popular films 3,movies
latest movies 4,movies
suggest a movie 0,movies
suggest a movie 1,movies
popular films 2,movies
suggest a movie 3,movies
popular films 4,movies
latest movies 0,movies
latest movies 1,movies
suggest a movie 2,movies
latest movies 3,movies
popular films 4,movies
popular films 0,movies
movie recommendation 1,movies
suggest a movie 2,movies
popular films 3,movies
popular films 4,movies
popular films 0,movies
popular films 1,movies
popular films 2,movies
popular films 3,movies
suggest a movie 4,movies
movie recommendation 0,movies
latest movies 1,movies
popular films 2,movies
suggest a movie 3,movies
popular films 4,movies
suggest a movie 0,movies
suggest a movie 1,movies
suggest a movie 2,movies
popular films 3,movies
suggest a movie 4,movies
latest movies 0,movies
latest movies 1,movies
movie recommendation 2,movies
latest movies 3,movies
latest movies 4,movies
latest movies 0,movies
latest movies 1,movies
latest movies 2,movies
suggest a movie 3,movies
movie recommendation 4,movies
movie recommendation 0,movies
popular films 1,movies
suggest a movie 2,movies
movie recommendation 3,movies
movie recommendation 4,movies
movie recommendation 0,movies
suggest a movie 1,movies
popular films 2,movies
suggest a movie 3,movies
suggest a movie 4,movies
suggest a movie 0,movies
movie recommendation 1,movies
movie recommendation 2,movies
suggest a movie 3,movies
movie recommendation 4,movies
suggest a movie 0,movies
popular films 1,movies
suggest a movie 2,movies
movie recommendation 3,movies
movie recommendation 4,movies
latest movies 0,movies
movie recommendation 1,movies
movie recommendation 2,movies
popular films 3,movies
suggest a movie 4,movies
movie recommendation 0,movies
popular films 1,movies
latest movies 2,movies
movie recommendation 3,movies
movie recommendation 4,movies
suggest a movie 0,movies
popular films 1,movies
movie recommendation 2,movies
latest movies 3,movies
suggest a movie 4,movies
movie recommendation 0,movies
popular films 1,movies
popular films 2,movies
suggest a movie 3,movies
suggest a movie 4,movies
latest movies 0,movies
popular films 1,movies
latest movies 2,movies
popular films 3,movies
popular films 4,movies
popular films 0,movies
suggest a movie 1,movies
popular films 2,movies
suggest a movie 3,movies
movie recommendation 4,movies
suggest a movie 0,movies
movie recommendation 1,movies
suggest a movie 2,movies
latest movies 3,movies
suggest a movie 4,movies
latest movies 0,movies
popular films 1,movies
latest movies 2,movies
popular films 3,movies
popular films 4,movies
suggest a movie 0,movies
suggest a movie 1,movies
latest movies 2,movies
suggest a movie 3,movies
movie recommendation 4,movies
set a timer 0,set_timer
set a timer 1,set_timer
timer for cooking 2,set_timer
start countdown 3,set_timer
start timer 4,set_timer
timer for cooking 0,set_timer
timer for cooking 1,set_timer
set a timer 2,set_timer
start timer 3,set_timer
start timer 4,set_timer
start countdown 0,set_timer
timer for cooking 1,set_timer
timer for cooking 2,set_timer
start countdown 3,set_timer
start countdown 4,set_timer
start countdown 0,set_timer
start countdown 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
set a timer 4,set_timer
start countdown 0,set_timer
start countdown 1,set_timer
start countdown 2,set_timer
timer for cooking 3,set_timer
timer for cooking 4,set_timer
timer for cooking 0,set_timer
set a timer 1,set_timer
timer for cooking 2,set_timer
start timer 3,set_timer
start countdown 4,set_timer
timer for cooking 0,set_timer
set a timer 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
start timer 4,set_timer
start countdown 0,set_timer
start timer 1,set_timer
start countdown 2,set_timer
start timer 3,set_timer
start timer 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
set a timer 2,set_timer
start countdown 3,set_timer
start countdown 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
start timer 2,set_timer
start timer 3,set_timer
start countdown 4,set_timer
start timer 0,set_timer
timer for cooking 1,set_timer
start timer 2,set_timer
start countdown 3,set_timer
set a timer 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
timer for cooking 2,set_timer
set a timer 3,set_timer
timer for cooking 4,set_timer
set a timer 0,set_timer
timer for cooking 1,set_timer
timer for cooking 2,set_timer
timer for cooking 3,set_timer
timer for cooking 4,set_timer
set a timer 0,set_timer
start timer 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
start countdown 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
timer for cooking 2,set_timer
start countdown 3,set_timer
start timer 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
timer for cooking 4,set_timer
set a timer 0,set_timer
set a timer 1,set_timer
timer for cooking 2,set_timer
set a timer 3,set_timer
start timer 4,set_timer
start timer 0,set_timer
timer for cooking 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
timer for cooking 4,set_timer
start countdown 0,set_timer
start timer 1,set_timer
start countdown 2,set_timer
start countdown 3,set_timer
start timer 4,set_timer
start timer 0,set_timer
set a timer 1,set_timer
start timer 2,set_timer
start timer 3,set_timer
start timer 4,set_timer
start timer 0,set_timer
set a timer 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
set a timer 4,set_timer
timer for cooking 0,set_timer
start timer 1,set_timer
timer for cooking 2,set_timer
start timer 3,set_timer
set a timer 4,set_timer
set a timer 0,set_timer
set a timer 1,set_timer
start countdown 2,set_timer
set a timer 3,set_timer
start timer 4,set_timer
start countdown 0,set_timer
start timer 1,set_timer
start timer 2,set_timer
start countdown 3,set_timer
set a timer 4,set_timer
start countdown 0,set_timer
set a timer 1,set_timer
start timer 2,set_timer
timer for cooking 3,set_timer
set a timer 4,set_timer
start timer 0,set_timer
timer for cooking 1,set_timer
start timer 2,set_timer
start timer 3,set_timer
start countdown 4,set_timer
set a timer 0,set_timer
timer for cooking 1,set_timer
start countdown 2,set_timer
start countdown 3,set_timer
start timer 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
start timer 2,set_timer
set a timer 3,set_timer
set a timer 4,set_timer
timer for cooking 0,set_timer
set a timer 1,set_timer
set a timer 2,set_timer
start timer 3,set_timer
timer for cooking 4,set_timer
set a timer 0,set_timer
start timer 1,set_timer
start countdown 2,set_timer
timer for cooking 3,set_timer
start countdown 4,set_timer
set a timer 0,set_timer
start countdown 1,set_timer
start timer 2,set_timer
start timer 3,set_timer
set a timer 4,set_timer
start timer 0,set_timer
timer for cooking 1,set_timer
set a timer 2,set_timer
set a timer 3,set_timer
start countdown 4,set_timer
start countdown 0,set_timer
set a timer 1,set_timer
set a timer 2,set_timer
start timer 3,set_timer
start countdown 4,set_timer
start timer 0,set_timer
start timer 1,set_timer
set a timer 2,set_timer
set a timer 3,set_timer
start countdown 4,set_timer
reminder for meeting 0,reminder
don't forget task 1,reminder
don't forget task 2,reminder
don't forget task 3,reminder
set reminder 4,reminder
reminder for meeting 0,reminder
don't forget task 1,reminder
reminder for meeting 2,reminder
remind me later 3,reminder
set reminder 4,reminder
reminder for meeting 0,reminder
remind me later 1,reminder
reminder for meeting 2,reminder
remind me later 3,reminder
remind me later 4,reminder
reminder for meeting 0,reminder
set reminder 1,reminder
set reminder 2,reminder
remind me later 3,reminder
set reminder 4,reminder
don't forget task 0,reminder
don't forget task 1,reminder
remind me later 2,reminder
reminder for meeting 3,reminder
set reminder 4,reminder
don't forget task 0,reminder
remind me later 1,reminder
don't forget task 2,reminder
set reminder 3,reminder
don't forget task 4,reminder
remind me later 0,reminder
set reminder 1,reminder
remind me later 2,reminder
set reminder 3,reminder
don't forget task 4,reminder
don't forget task 0,reminder
set reminder 1,reminder
set reminder 2,reminder
set reminder 3,reminder
don't forget task 4,reminder
reminder for meeting 0,reminder
reminder for meeting 1,reminder
set reminder 2,reminder
reminder for meeting 3,reminder
don't forget task 4,reminder
remind me later 0,reminder
don't forget task 1,reminder
remind me later 2,reminder
remind me later 3,reminder
don't forget task 4,reminder
remind me later 0,reminder
reminder for meeting 1,reminder
reminder for meeting 2,reminder
reminder for meeting 3,reminder
set reminder 4,reminder
don't forget task 0,reminder
set reminder 1,reminder
set reminder 2,reminder
don't forget task 3,reminder
don't forget task 4,reminder
reminder for meeting 0,reminder
remind me later 1,reminder
reminder for meeting 2,reminder
don't forget task 3,reminder
remind me later 4,reminder
reminder for meeting 0,reminder
remind me later 1,reminder
don't forget task 2,reminder
set reminder 3,reminder
remind me later 4,reminder
set reminder 0,reminder
remind me later 1,reminder
set reminder 2,reminder
remind me later 3,reminder
reminder for meeting 4,reminder
don't forget task 0,reminder
reminder for meeting 1,reminder
remind me later 2,reminder
don't forget task 3,reminder
don't forget task 4,reminder
set reminder 0,reminder
reminder for meeting 1,reminder
reminder for meeting 2,reminder
reminder for meeting 3,reminder
don't forget task 4,reminder
reminder for meeting 0,reminder
set reminder 1,reminder
remind me later 2,reminder
set reminder 3,reminder
don't forget task 4,reminder
set reminder 0,reminder
set reminder 1,reminder
remind me later 2,reminder
set reminder 3,reminder
set reminder 4,reminder
don't forget task 0,reminder
remind me later 1,reminder
set reminder 2,reminder
don't forget task 3,reminder
set reminder 4,reminder
don't forget task 0,reminder
set reminder 1,reminder
remind me later 2,reminder
reminder for meeting 3,reminder
remind me later 4,reminder
don't forget task 0,reminder
set reminder 1,reminder
don't forget task 2,reminder
don't forget task 3,reminder
reminder for meeting 4,reminder
don't forget task 0,reminder
don't forget task 1,reminder
don't forget task 2,reminder
don't forget task 3,reminder
remind me later 4,reminder
reminder for meeting 0,reminder
reminder for meeting 1,reminder
set reminder 2,reminder
remind me later 3,reminder
don't forget task 4,reminder
remind me later 0,reminder
don't forget task 1,reminder
remind me later 2,reminder
set reminder 3,reminder
don't forget task 4,reminder
don't forget task 0,reminder
remind me later 1,reminder
remind me later 2,reminder
don't forget task 3,reminder
reminder for meeting 4,reminder
don't forget task 0,reminder
reminder for meeting 1,reminder
don't forget task 2,reminder
set reminder 3,reminder
remind me later 4,reminder
remind me later 0,reminder
don't forget task 1,reminder
reminder for meeting 2,reminder
remind me later 3,reminder
don't forget task 4,reminder
set reminder 0,reminder
reminder for meeting 1,reminder
set reminder 2,reminder
set reminder 3,reminder
set reminder 4,reminder
remind me later 0,reminder
set reminder 1,reminder
reminder for meeting 2,reminder
reminder for meeting 3,reminder
reminder for meeting 4,reminder
reminder for meeting 0,reminder
remind me later 1,reminder
reminder for meeting 2,reminder
reminder for meeting 3,reminder
don't forget task 4,reminder
don't forget task 0,reminder
remind me later 1,reminder
set reminder 2,reminder
don't forget task 3,reminder
reminder for meeting 4,reminder
don't forget task 0,reminder
remind me later 1,reminder
reminder for meeting 2,reminder
reminder for meeting 3,reminder
reminder for meeting 4,reminder
reminder for meeting 0,reminder
reminder for meeting 1,reminder
set reminder 2,reminder
set reminder 3,reminder
don't forget task 4,reminder
date today 0,date_time
current time 1,date_time
current time 2,date_time
what time is it 3,date_time
date today 4,date_time
what time is it 0,date_time
current time 1,date_time
current time 2,date_time
current time 3,date_time
date today 4,date_time
today's date 0,date_time
current time 1,date_time
date today 2,date_time
current time 3,date_time
current time 4,date_time
today's date 0,date_time
current time 1,date_time
current time 2,date_time
what time is it 3,date_time
today's date 4,date_time
date today 0,date_time
what time is it 1,date_time
what time is it 2,date_time
current time 3,date_time
current time 4,date_time
today's date 0,date_time
today's date 1,date_time
what time is it 2,date_time
today's date 3,date_time
date today 4,date_time
today's date 0,date_time
what time is it 1,date_time
date today 2,date_time
today's date 3,date_time
today's date 4,date_time
date today 0,date_time
date today 1,date_time
